ID,NAME,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,PARTY,MINSHIN,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,SQ3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,SQ7_1_1,SQ7_1_2,SQ7_1_3,SQ7_2,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q1_1_FA,Q1_2_FA,Q1_3_FA,SQ7_1_1_FA,SQ7_1_2_FA,SQ7_1_3_FA
20,逢坂＝誠二,1,1,8,0,66,8,3,3,3,1,58,2,16,15,5,30,100,40,40,30,40,40,30,30,0,3,3,3,4,4,1,5,4,2,3,3,2,4,3,5,2,2,2,5,3,5,1,3,4,3,4,4,3,4,3,66,66,66,66,5,5,5,3,4,5,5,5,5,5,安倍内閣をたおす,,,,,
21,堀井＝学,1,1,9,0,51,1,66,3,2,1,45,2,1,5,4,100,0,100,0,50,40,0,50,50,100,1,4,1,3,2,1,3,3,1,3,2,3,3,3,2,3,3,2,3,2,2,4,4,3,3,3,3,3,2,1,3,9,1,2,2,1,1,1,1,1,1,1,1,2,,,,,,
22,山岡＝達丸,1,1,9,0,51,7,1,2,1,1,38,3,3,5,11,999,999,999,999,999,999,999,999,999,999,4,66,2,5,3,1,3,4,3,2,2,3,4,3,3,3,3,2,3,3,4,3,4,3,3,4,3,4,4,2,6,7,4,2,5,5,4,3,4,5,3,3,5,5,,,,,,
23,松橋＝千春,1,1,9,0,66,3,66,1,0,2,35,1,12,6,7,0,85,0,100,0,85,85,0,0,0,5,66,5,5,5,1,5,5,2,2,1,1,1,4,5,1,1,1,5,5,2,1,4,4,5,5,5,2,4,5,66,66,66,66,5,5,5,3,5,5,5,5,5,5,,,,,,
24,神谷＝裕,1,1,10,0,51,8,2,1,0,1,49,3,4,5,7,10,100,0,50,5,50,50,0,10,5,2,99,5,4,5,1,5,4,3,3,1,2,5,3,3,1,2,2,4,5,5,2,3,4,3,4,4,3,4,4,66,66,66,66,5,5,5,4,5,5,5,5,5,5,,,,,,
25,稲津＝久,1,1,10,0,66,2,66,3,3,1,59,2,4,5,6,90,10,100,0,50,0,0,30,30,90,2,5,2,4,2,1,5,4,2,2,1,2,4,3,2,2,2,3,3,3,4,3,3,2,4,4,3,3,2,2,7,8,2,2,3,1,2,2,3,1,1,2,1,3,,,,,,
26,中川＝郁子,1,1,11,0,51,1,66,3,2,2,58,1,1,5,16,100,999,999,999,999,999,999,999,999,100,1,4,2,2,2,3,1,3,2,2,3,3,3,3,2,3,4,2,4,2,3,5,2,3,3,3,3,4,4,1,4,1,9,2,1,1,2,2,2,1,2,2,2,2,,,地方創生,,,
27,石川＝香織,1,1,11,0,51,8,2,1,0,2,33,2,5,4,1,40,100,50,60,40,90,90,30,60,30,3,5,4,4,3,1,5,4,2,2,2,2,4,2,4,2,2,3,3,5,4,2,2,4,4,4,4,2,3,4,66,66,66,66,4,4,5,3,5,5,2,3,4,5,,,,,,
28,武部＝新,1,1,12,0,51,1,66,3,2,1,47,2,1,4,5,100,0,100,0,50,0,0,80,50,100,1,4,1,3,1,2,1,3,1,2,2,3,3,2,1,3,5,2,2,3,2,4,4,3,3,3,3,3,2,1,1,9,11,2,1,1,1,1,1,1,1,1,1,2,,,,,,教育の充実
29,水上＝美華,1,1,12,0,51,7,1,1,0,2,35,1,5,4,6,0,80,50,50,50,80,50,50,80,0,4,66,5,5,5,1,5,5,3,4,2,1,5,2,5,1,1,2,5,5,5,2,3,3,3,4,3,3,3,5,66,66,66,66,5,5,5,5,5,5,3,5,5,5,,,,,,
30,菅原＝誠,1,1,12,0,66,3,66,1,0,1,44,1,12,2,6,0,30,0,100,10,70,80,0,10,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,4,5,1,5,5,5,5,5,3,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
31,津島＝淳,1,2,1,0,52,1,66,3,2,1,51,2,6,5,3,100,0,100,0,50,0,0,50,0,80,1,2,1,2,1,1,2,4,2,2,2,2,2,2,1,3,4,2,4,4,2,5,4,4,2,4,4,2,3,1,9,1,2,2,3,2,3,2,2,2,2,2,2,2,,,,,,
32,升田＝世喜男,1,2,1,0,52,7,1,3,1,1,60,1,6,5,1,33,80,51,51,49,55,55,50,80,25,5,66,2,3,3,1,2,5,2,2,1,2,3,3,3,3,3,3,4,5,4,4,2,4,4,4,3,2,4,3,66,66,66,66,3,5,5,1,3,4,4,4,4,5,,,,,,
33,赤平＝勇人,1,2,1,0,66,3,66,1,0,1,27,1,12,1,7,0,999,0,100,0,999,999,0,0,0,5,66,5,5,5,1,5,5,3,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,4,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
34,大島＝理森,0,2,2,0,52,1,66,3,11,1,71,2,99,99,99,999,999,999,999,999,999,999,999,999,999,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,99,99,99,99,99,99,99,99,99,99,,,,,,
35,工藤＝武司,1,2,2,0,52,7,1,1,0,1,45,1,16,5,1,30,999,10,0,50,20,0,50,100,40,5,66,1,3,3,1,2,4,3,4,2,2,3,3,3,1,2,4,3,4,3,3,1,2,5,4,2,2,4,1,1,10,4,2,1,4,5,3,2,2,5,3,3,5,地方消滅阻止,,,,,
36,奥本＝菜保巳,1,2,2,0,66,3,66,1,0,2,57,1,12,1,6,0,999,0,100,0,999,999,0,0,0,5,66,5,5,5,1,5,5,3,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,4,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
37,木村＝次郎,1,2,3,0,52,1,66,1,0,1,49,2,1,5,4,100,0,80,0,50,0,0,50,50,100,1,4,1,3,1,1,2,3,2,3,2,3,3,3,2,3,3,2,5,3,3,4,4,3,3,3,3,3,2,1,9,3,1,2,1,1,1,1,1,1,1,1,1,2,,,,,,
38,山内＝崇,1,2,3,0,52,7,1,1,0,1,62,1,4,5,7,30,80,50,60,50,50,60,30,75,30,4,66,2,4,3,1,5,3,3,3,2,2,5,2,3,2,3,3,4,4,5,3,4,2,4,4,4,2,3,3,66,66,66,66,4,5,4,2,4,4,4,4,5,5,,,,,,
39,高柳＝博明,1,2,3,0,66,3,66,1,0,1,47,1,12,1,4,0,999,0,100,0,999,999,0,0,0,5,66,5,5,5,1,5,5,3,3,1,1,5,3,5,1,1,1,5,5,5,1,4,5,5,5,5,4,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
40,三国＝佑貴,1,2,3,0,66,9,66,1,0,1,32,1,1,16,12,30,10,10,0,20,20,0,30,0,30,5,66,1,2,1,5,1,2,2,4,5,5,3,2,1,3,4,1,1,2,2,5,3,1,5,2,2,4,2,1,1,5,3,1,5,4,4,5,4,1,2,2,5,5,,経済,,,,
41,高橋＝比奈子,1,3,1,0,52,1,66,3,2,2,59,3,6,9,4,100,10,90,10,70,10,10,60,20,100,2,5,2,3,2,3,2,3,2,2,1,3,2,3,2,4,3,4,5,3,1,4,3,4,2,4,3,2,2,1,11,8,99,1,1,1,2,2,1,1,2,1,1,3,,,,参議院の合区について,,
42,吉田＝恭子,1,3,1,0,52,3,66,1,0,2,36,1,1,12,5,0,999,0,100,0,999,100,0,0,0,5,66,5,5,5,1,5,3,3,3,1,1,5,3,5,1,1,3,5,3,5,1,4,5,5,5,5,4,4,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
43,階＝猛,1,3,1,0,52,7,1,3,4,1,51,2,5,13,12,0,100,50,25,25,50,75,0,75,0,2,5,4,4,4,1,5,5,3,4,2,2,5,3,3,2,3,2,3,4,4,3,5,3,2,4,3,3,4,2,10,4,11,2,5,5,5,5,3,5,4,4,5,5,,,,,,国会に地方の意見を反映しやすくする選挙制度
44,鈴木＝俊一,1,3,2,0,52,1,66,3,8,1,64,2,13,4,6,90,999,90,0,50,0,0,30,30,90,2,4,1,3,2,1,2,4,2,2,2,2,3,3,2,4,3,4,4,3,3,4,3,2,3,4,4,3,3,1,1,9,8,2,1,1,2,2,1,1,1,1,1,1,,,,,,
45,畑＝浩治,1,3,2,0,52,7,1,2,2,1,54,1,7,13,3,35,95,35,60,25,80,80,50,95,0,4,66,2,3,3,2,5,4,3,1,2,1,3,3,3,1,3,2,3,3,4,3,1,3,3,4,3,2,3,3,66,66,66,66,3,5,5,3,3,5,5,5,5,5,,,,,,
46,藤原＝崇,1,3,3,0,52,1,66,3,2,1,34,3,14,4,5,70,50,50,50,50,50,50,50,50,70,2,99,1,2,2,3,2,4,1,2,2,2,3,3,2,3,4,1,4,2,2,4,3,2,4,3,3,2,2,1,11,99,99,2,2,2,3,2,3,2,3,1,2,3,,,,一票の平等での地方選挙区の削減問題,,
47,小沢＝一郎,1,3,3,0,66,11,66,3,16,1,75,2,13,7,15,0,999,999,999,999,999,999,999,999,0,5,66,3,3,3,1,5,5,3,4,3,2,4,3,5,2,3,3,3,5,5,1,3,3,5,4,4,3,5,4,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
48,土井＝亨,1,4,1,0,52,1,66,3,3,1,59,2,7,6,5,80,999,999,999,999,999,999,999,999,70,2,5,2,3,2,2,2,4,1,1,3,3,4,3,2,4,4,4,4,3,4,4,2,3,4,4,4,2,2,1,1,4,6,2,1,2,2,2,2,2,2,2,2,3,,,,,,
49,畠山＝昌樹,1,4,1,0,52,4,66,1,0,1,43,1,5,7,6,50,25,75,10,100,25,20,45,75,45,4,66,2,2,3,3,4,2,4,2,1,2,3,3,2,2,4,3,1,2,3,4,3,1,4,2,2,3,1,2,4,11,5,2,2,4,2,1,2,2,4,3,3,5,,,,,教育の無償化,
50,伊藤＝優太,1,4,1,0,52,7,66,1,0,1,32,1,10,5,15,20,999,50,0,50,50,30,20,100,20,5,66,2,4,3,4,3,4,4,4,2,1,4,1,5,1,3,1,1,4,4,3,4,1,5,2,2,1,4,1,9,4,2,2,3,4,3,2,2,2,4,4,3,5,,,,,,
51,岡本＝章子,1,4,1,0,52,8,2,1,0,2,53,3,1,5,13,20,90,40,60,40,50,80,10,60,20,5,66,3,5,3,1,5,4,3,4,2,3,5,3,4,1,3,3,4,4,5,2,2,3,4,4,3,3,4,4,66,66,66,66,5,4,4,2,4,5,3,3,5,5,,,,,,
52,油井＝哲史,1,4,1,0,66,9,66,1,0,1,37,1,1,2,5,10,10,10,10,10,10,10,50,10,10,5,66,1,1,1,5,1,2,1,2,5,5,5,2,1,4,5,3,2,1,1,5,3,1,5,1,1,1,3,1,1,7,3,1,5,5,2,4,5,2,4,5,5,5,,,,,,
53,今留＝尚人,0,4,1,0,66,11,66,1,0,1,52,1,99,99,99,999,999,999,999,999,999,999,999,999,999,99,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,99,99,99,99,99,99,99,99,99,99,,,,,,
54,秋葉＝賢也,1,4,2,0,52,1,66,3,5,1,55,2,1,6,13,100,999,90,999,999,999,999,999,999,100,1,4,1,3,1,1,2,3,3,2,3,3,3,2,2,3,3,2,2,3,3,4,4,3,3,3,3,3,2,1,1,3,9,2,1,1,1,1,1,1,1,1,1,2,,,,,,
55,鎌田＝さゆり,1,4,2,0,66,11,3,2,2,2,52,1,5,6,15,30,80,60,70,5,60,70,3,5,3,4,66,4,5,5,1,5,5,2,4,1,2,5,1,5,1,1,1,5,4,5,1,4,4,4,5,4,4,5,4,66,66,66,66,5,4,5,2,4,5,3,5,5,5,,,,,,
56,西村＝明宏,1,4,3,0,52,1,66,3,4,1,57,2,13,6,4,100,999,100,999,999,999,999,999,999,999,1,4,2,3,2,2,2,4,2,2,2,3,4,3,2,5,3,2,3,3,4,3,4,3,3,3,3,3,2,2,3,4,99,2,3,1,1,1,1,1,1,1,1,2,,,,,,
57,一條＝芳弘,1,4,3,0,52,7,1,1,0,1,44,1,7,1,2,50,50,50,30,40,50,40,30,50,30,1,1,3,3,5,1,5,2,4,4,4,4,5,4,5,2,4,4,5,3,3,2,4,2,4,2,4,4,4,3,66,66,66,66,3,3,4,4,4,4,4,4,4,4,,,,,,
58,吉田＝剛,1,4,3,0,66,3,66,1,0,1,35,1,5,4,2,0,50,0,100,0,50,50,0,0,0,5,66,4,5,4,1,5,5,3,4,1,1,5,4,5,1,1,2,5,4,5,1,4,3,5,5,5,4,5,5,66,66,66,66,5,5,5,4,5,5,5,5,5,5,,,,,,
59,伊藤＝信太郎,1,4,4,0,52,1,66,3,5,1,64,2,13,5,4,100,40,80,10,60,20,10,60,50,90,1,4,2,3,3,1,3,3,2,2,2,2,4,4,3,3,4,3,3,3,4,4,4,2,4,4,4,3,3,1,3,11,8,1,3,2,3,2,2,1,4,2,2,4,,,,,私学助成に関する89条の問題,
60,坂東＝毅彦,1,4,4,0,52,7,1,1,0,1,58,1,5,1,2,15,75,5,0,0,50,0,0,80,0,3,4,2,3,3,2,3,4,2,1,4,3,2,3,3,4,4,4,4,4,3,3,2,4,3,4,3,1,2,3,66,66,66,66,4,4,4,2,4,3,4,4,4,5,,,,,,
61,高村＝直也,1,4,4,0,66,3,66,1,0,1,34,1,12,1,15,0,60,0,100,0,70,80,0,0,0,5,66,5,5,5,2,5,5,3,2,2,1,4,4,5,1,2,1,5,5,5,1,3,4,5,5,5,3,5,5,66,66,66,66,5,5,5,3,5,5,3,5,5,5,,,,,,
62,勝沼＝栄明,1,4,5,0,52,1,66,3,2,1,42,1,1,5,99,100,0,80,0,30,0,0,50,0,90,1,4,1,3,1,1,2,3,2,3,2,3,3,3,2,3,3,2,2,2,3,4,4,3,3,3,3,3,2,1,9,1,11,99,2,1,1,1,1,1,1,1,1,3,,,,,,一票の格差
63,安住＝淳,1,4,5,0,66,11,3,3,7,1,55,2,6,13,2,25,100,35,50,30,60,60,0,50,10,2,4,2,3,3,1,4,4,3,5,1,1,2,2,3,2,2,3,3,4,4,2,5,2,3,4,2,4,5,3,66,66,66,66,4,5,4,4,5,5,5,3,5,5,,,,,,
64,小野寺＝五典,1,4,6,0,52,1,66,3,6,1,57,2,1,13,5,100,0,100,0,50,0,0,80,999,100,1,4,1,99,1,1,99,3,2,3,3,3,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,2,1,3,9,8,2,99,1,2,1,1,1,1,1,1,1,,,,,,
65,横田＝有史,1,4,6,0,66,3,66,1,0,1,73,1,12,3,4,0,30,0,100,0,50,80,0,0,0,5,66,5,5,5,1,5,5,1,3,1,1,5,3,5,1,1,1,5,4,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,2,5,5,5,5,5,5,,,,,,
66,冨樫＝博之,1,5,1,0,52,1,66,3,2,1,62,2,7,5,4,100,0,100,0,30,0,0,80,0,90,1,4,1,3,1,1,1,3,2,2,2,3,3,3,1,4,5,2,4,3,3,4,4,3,3,5,3,3,2,1,11,1,9,1,3,1,2,1,1,1,1,1,1,3,,,,合区の解消,,
67,松浦＝大悟,1,5,1,0,52,7,66,1,0,1,48,1,11,12,4,50,50,50,50,50,50,50,50,100,50,4,66,1,2,3,1,1,5,3,1,1,1,3,3,5,1,1,1,1,3,5,1,3,3,2,2,3,4,3,1,4,10,8,1,2,4,5,4,3,2,4,4,4,4,,,,,,
68,斉藤＝大悟,1,5,1,0,66,3,66,1,0,1,38,1,5,12,6,0,999,0,100,0,50,75,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,3,5,1,1,1,5,5,5,1,3,5,5,5,5,3,5,5,66,66,66,66,5,5,5,1,5,5,5,5,5,5,,,,,,
69,金田＝勝年,1,5,2,0,52,1,66,3,3,1,68,2,1,5,4,100,999,999,999,999,999,999,999,999,999,1,4,1,3,1,1,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,4,4,3,3,4,3,3,2,1,3,9,8,99,3,1,1,1,1,1,1,1,1,1,,,,,,
70,緑川＝貴士,1,5,2,0,52,7,1,1,0,1,32,3,7,10,5,10,80,10,40,50,60,50,10,70,0,4,66,3,5,4,2,5,4,4,4,2,2,4,2,5,2,2,3,3,4,5,2,4,2,4,3,4,4,5,2,6,10,8,2,3,4,5,4,5,5,4,3,5,5,,,,,,
71,藤本＝友里,1,5,2,0,66,3,66,1,0,2,38,1,4,5,12,0,55,0,100,0,55,60,0,0,0,5,66,5,5,5,1,5,4,3,5,1,1,5,2,5,1,2,1,5,5,4,1,5,5,5,5,4,3,5,5,66,66,66,66,5,5,5,2,5,5,5,5,5,5,,,,,,
72,御法川＝信英,1,5,3,0,52,1,66,3,4,1,53,2,1,12,6,100,50,90,40,70,50,40,50,50,80,2,4,2,3,2,3,3,4,2,2,3,2,2,3,2,3,3,3,2,3,4,3,4,3,3,2,3,2,2,1,1,9,10,2,3,2,3,2,2,2,3,2,2,4,,,,,,
73,村岡＝敏英,1,5,3,0,52,7,1,3,2,1,57,1,11,4,1,60,60,60,0,60,50,20,50,90,40,5,66,2,3,2,3,2,3,2,3,2,2,3,4,2,2,3,2,2,4,3,2,4,2,4,4,3,4,4,1,4,6,8,2,2,4,4,2,3,2,4,2,3,5,,,,,,
74,冨岡＝昭,1,5,3,0,66,3,66,1,0,1,67,1,12,5,4,0,50,0,100,0,50,60,0,0,0,5,66,5,5,5,1,5,5,2,3,1,1,5,5,5,1,1,1,5,5,5,1,4,5,5,5,5,2,5,5,66,66,66,66,5,5,5,2,5,5,5,5,5,5,,,,,,
75,遠藤＝利明,1,6,1,0,52,1,66,3,7,1,67,2,5,14,4,100,0,100,0,0,0,0,10,0,100,1,4,3,3,2,1,3,3,2,3,2,2,3,3,2,3,4,4,4,3,3,3,4,3,3,3,3,4,4,2,9,5,99,2,3,1,2,4,2,2,2,2,2,4,,,,,,
76,荒井＝寛,1,6,1,0,52,7,1,1,0,1,44,1,3,5,10,25,75,25,20,50,40,40,20,80,10,4,66,2,3,3,2,3,3,3,4,1,2,4,4,3,3,2,2,3,4,2,3,4,4,4,4,4,4,4,3,66,66,66,66,3,5,4,3,3,2,2,3,4,5,,,,,,
77,石川＝渉,1,6,1,0,66,3,66,1,0,1,43,1,12,99,99,0,0,0,100,0,0,0,0,0,0,5,66,5,5,5,1,5,5,4,4,3,1,4,4,5,1,1,1,5,5,4,1,5,5,5,5,5,5,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
78,鈴木＝憲和,1,6,2,0,52,1,66,3,2,1,35,2,4,1,5,80,0,80,0,25,0,0,0,0,75,1,4,2,4,2,1,3,4,1,1,2,2,4,2,1,1,2,1,3,3,4,3,3,3,2,3,4,3,2,1,1,7,3,2,1,1,4,4,1,1,2,2,2,3,,,,,,
79,近藤＝洋介,1,6,2,0,52,7,1,3,5,1,52,1,5,6,4,25,100,25,50,15,50,60,0,100,0,4,66,3,4,3,1,4,4,3,3,2,2,4,4,2,2,3,3,3,4,4,3,3,3,3,4,2,4,4,3,66,66,66,66,5,5,5,5,5,5,4,4,5,5,,,,,,
80,岩本＝康嗣,1,6,2,0,66,3,66,1,0,1,52,1,12,99,99,0,0,0,100,0,0,0,0,0,0,5,66,5,5,5,1,5,5,4,4,3,1,4,4,5,1,1,1,5,5,4,1,5,5,5,5,5,5,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
81,加藤＝鮎子,1,6,3,0,52,1,66,3,1,2,38,2,4,6,14,999,999,999,999,999,999,999,999,999,999,1,5,2,3,3,1,5,4,1,2,2,2,4,2,4,2,2,3,5,3,4,2,2,3,4,4,3,2,3,2,8,9,7,2,2,2,4,2,3,2,2,2,2,4,,,,,,
82,阿部＝寿一,1,6,3,0,52,7,66,2,1,1,58,1,14,4,6,25,75,25,50,25,75,75,25,75,0,1,1,3,3,3,2,3,4,4,4,3,2,5,4,2,2,3,3,4,4,4,4,4,4,3,4,4,4,4,2,99,99,99,99,3,4,5,5,1,5,5,5,5,5,,,,,,
83,加藤＝太一,1,6,3,0,66,3,66,1,0,1,66,1,12,99,99,0,0,0,100,0,0,0,0,0,0,5,66,5,5,5,1,5,5,4,4,3,1,4,4,5,1,1,1,5,5,4,1,5,5,5,5,5,5,5,5,66,66,66,66,5,5,5,5,5,5,5,5,5,5,,,,,,
